id,premises,conclusion,label,caroline_premises,caroline_conclusion,domain_shift_premises,domain_shift_conclusion,ans_orig_zero,ans_caroline_zero,ans_domain_zero,ans_caroline_cot
98,"If animals are loved by tourists, then they are Max's favorite animals.  All animals from Australia are loved by tourists.  All quokka are animals from Australia.  All of Max's favorite animals are very fluffy. All of Max's favorite animals love to sleep.  If a koala is very fluffy, then the koala is not a quokka.","If a koala is a quokka, then the koala either loves to sleep or is very fluffy.",True,"If animals are loved by tourists, then they are Tweequ's favorite animals.  All animals from Mome are loved by tourists.  All quokka are animals from Mome.  All of Tweequ's favorite animals are very fluffy. All of Tweequ's favorite animals love to sleep.  If a Jubjub is very fluffy, then the Jubjub is not a quokka.","If a Jubjub is a quokka, then the Jubjub either loves to sleep or is very fluffy.","If animals are loved by tourists, then they are Quark's favorite animals.  All animals from Mitochondria are loved by tourists.  All quokka are animals from Mitochondria.  All of Quark's favorite animals are very fluffy. All of Quark's favorite animals love to sleep.  If a Enzyme is very fluffy, then the Enzyme is not a quokka.","If a Enzyme is a quokka, then the Enzyme either loves to sleep or is very fluffy.",Uncertain,Uncertain,Uncertain,True
99,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,Harry is a CEO.,Uncertain,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Boroogove is a gentleman.,Boroogove is a CEO.,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Chromosome is a gentleman.,Chromosome is a CEO.,True,True,Uncertain,True
100,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,Harry is kind or a CEO.,True,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Tumtum is a gentleman.,Tumtum is kind or a CEO.,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Electron is a gentleman.,Electron is kind or a CEO.,True,True,True,Uncertain
101,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,"If Harry is either both evil and ugly, or neither evil nor ugly, then Harry is neither kind nor a CEO.",False,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Tumtum is a gentleman.,"If Tumtum is either both evil and ugly, or neither evil nor ugly, then Tumtum is neither kind nor a CEO.",A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Galaxy is a gentleman.,"If Galaxy is either both evil and ugly, or neither evil nor ugly, then Galaxy is neither kind nor a CEO.",Uncertain,Uncertain,Uncertain,Uncertain
102,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke spends a lot of time hanging out and playing with his siblings.,Uncertain,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Vorpal is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Vorpal spends a lot of time hanging out and playing with his siblings.,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Neutron is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Neutron spends a lot of time hanging out and playing with his siblings.,True,True,True,Uncertain
103,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke complains often about annoying siblings.,False,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Gyre is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Gyre complains often about annoying siblings.,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Photon is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Photon complains often about annoying siblings.,Uncertain,Uncertain,Uncertain,Uncertain
104,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke is neither a twin nor triplet nor complains often about annoying siblings.,True,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Boroogove is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Boroogove is neither a twin nor triplet nor complains often about annoying siblings.,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Quark is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Quark is neither a twin nor triplet nor complains often about annoying siblings.,True,True,True,Uncertain
105,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,Tom can apply for financial aid from ETS to take the GRE test.,True,It costs Jubjub $205 to take the Bandersnatch test. ETS provides financial aid to those Bandersnatch applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tumtum lives in a single-parent family. His dad has been out of work for more than a year.,Tumtum can apply for financial aid from ETS to take the Bandersnatch test.,It costs Electron $205 to take the Neutron test. ETS provides financial aid to those Neutron applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Ribosome lives in a single-parent family. His dad has been out of work for more than a year.,Ribosome can apply for financial aid from ETS to take the Neutron test.,True,True,True,True
106,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,It cost below US $300 to take the GRE test.,True,It costs Tweequ $205 to take the Mome test. ETS provides financial aid to those Mome applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Rath lives in a single-parent family. His dad has been out of work for more than a year.,It cost below Tweequ $300 to take the Mome test.,It costs Chromosome $205 to take the Ribosome test. ETS provides financial aid to those Ribosome applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Enzyme lives in a single-parent family. His dad has been out of work for more than a year.,It cost below Chromosome $300 to take the Ribosome test.,Uncertain,Uncertain,Uncertain,Uncertain
107,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,There is no financial aid available for the GRE test.,False,It costs Rath $205 to take the Tweequ test. ETS provides financial aid to those Tweequ applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Mome lives in a single-parent family. His dad has been out of work for more than a year.,There is no financial aid available for the Tweequ test.,It costs Ribosome $205 to take the Proton test. ETS provides financial aid to those Proton applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Chromosome lives in a single-parent family. His dad has been out of work for more than a year.,There is no financial aid available for the Proton test.,False,False,False,Uncertain
108,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter tidies his space consistently and enjoys the process of cleaning.,Uncertain,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Jubjub is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Jubjub tidies his space consistently and enjoys the process of cleaning.,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Photon is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Photon tidies his space consistently and enjoys the process of cleaning.,Uncertain,Uncertain,Uncertain,True
109,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter is either a foodie who goes out frequently to find new food restaurants to try or belongs to a household with a high net income.,False,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Bandersnatch is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Bandersnatch is either a foodie who goes out frequently to find new food restaurants to try or belongs to a household with a high net income.,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Mitochondria is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Mitochondria is either a foodie who goes out frequently to find new food restaurants to try or belongs to a household with a high net income.,Uncertain,Uncertain,Uncertain,Uncertain
110,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter is either a foodie who goes out frequently to find new food restaurants to try and belong to a household with a high net income or he is a foodie who goes out frequently to find new food restaurants to try nor belongs to a household with a high net income.,True,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Jabberwock is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Jabberwock is either a foodie who goes out frequently to find new food restaurants to try and belong to a household with a high net income or he is a foodie who goes out frequently to find new food restaurants to try nor belongs to a household with a high net income.,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Chromosome is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Chromosome is either a foodie who goes out frequently to find new food restaurants to try and belong to a household with a high net income or he is a foodie who goes out frequently to find new food restaurants to try nor belongs to a household with a high net income.,Uncertain,Uncertain,True,Uncertain
111,All fir trees are evergreens. Some objects of worship are fir trees.,Some evergreens are not objects of worship.,Uncertain,All fir trees are evergreens. Some objects of worship are fir trees.,Some evergreens are not objects of worship.,All fir trees are evergreens. Some objects of worship are fir trees.,Some evergreens are not objects of worship.,True,True,True,True
112,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",Juan de Onate visited a mountain range in New Mexico.,True,"The Picuris Mountains are a mountain range in Tweequ or Snark. Bandersnatch visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Jabberwock that have mines which have been donated.",Bandersnatch visited a mountain range in Tweequ.,"The Picuris Mountains are a mountain range in Photon or Proton. Ribosome visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Chromosome that have mines which have been donated.",Ribosome visited a mountain range in Photon.,True,False,True,True
113,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",Juan de Onate visited a mountain range in Texas.,Uncertain,"The Picuris Mountains are a mountain range in Vorpal or Mome. Bandersnatch visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Boroogove that have mines which have been donated.",Bandersnatch visited a mountain range in Mome.,"The Picuris Mountains are a mountain range in Galaxy or Electron. Nebula visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Neutron that have mines which have been donated.",Nebula visited a mountain range in Electron.,False,True,Uncertain,True
114,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",The Harding Pegmatite Mine is not located in a mountain range in New Mexico.,False,"The Picuris Mountains are a mountain range in Snark or Rath. Mome visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Bandersnatch that have mines which have been donated.",The Harding Pegmatite Mine is not located in a mountain range in Snark.,"The Picuris Mountains are a mountain range in Ribosome or Enzyme. Galaxy visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Neutron that have mines which have been donated.",The Harding Pegmatite Mine is not located in a mountain range in Ribosome.,True,True,True,Uncertain
115,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Peter is shorter than a man in Michael's class.,False,"If a man is taller than another man, the taller one can block the other's shooting. Vorpal is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Tweequ is a man who is taller than Vorpal. Vorpal can block any shooting from a person as long as the person does not jump when shooting. Vorpal cannot block Gyre's shooting. Every shooter who can jump when shooting is a great shooter.",Tweequ is shorter than a man in Vorpal's class.,"If a man is taller than another man, the taller one can block the other's shooting. Electron is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Quark is a man who is taller than Electron. Electron can block any shooting from a person as long as the person does not jump when shooting. Electron cannot block Nebula's shooting. Every shooter who can jump when shooting is a great shooter.",Quark is shorter than a man in Electron's class.,False,Uncertain,Uncertain,Uncertain
116,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Windy is a great shooter.,True,"If a man is taller than another man, the taller one can block the other's shooting. Rath is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Boroogove is a man who is taller than Rath. Rath can block any shooting from a person as long as the person does not jump when shooting. Rath cannot block Mome's shooting. Every shooter who can jump when shooting is a great shooter.",Mome is a great shooter.,"If a man is taller than another man, the taller one can block the other's shooting. Nebula is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Ribosome is a man who is taller than Nebula. Nebula can block any shooting from a person as long as the person does not jump when shooting. Nebula cannot block Chromosome's shooting. Every shooter who can jump when shooting is a great shooter.",Chromosome is a great shooter.,Uncertain,Uncertain,Uncertain,Uncertain
117,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Peter can block Windy's shooting.,Uncertain,"If a man is taller than another man, the taller one can block the other's shooting. Jabberwock is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Jubjub is a man who is taller than Jabberwock. Jabberwock can block any shooting from a person as long as the person does not jump when shooting. Jabberwock cannot block Gyre's shooting. Every shooter who can jump when shooting is a great shooter.",Jubjub can block Gyre's shooting.,"If a man is taller than another man, the taller one can block the other's shooting. Enzyme is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Proton is a man who is taller than Enzyme. Enzyme can block any shooting from a person as long as the person does not jump when shooting. Enzyme cannot block Galaxy's shooting. Every shooter who can jump when shooting is a great shooter.",Proton can block Galaxy's shooting.,Uncertain,Uncertain,Uncertain,Uncertain
118,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Barutin is named after all islands in Antarctica.,Uncertain,"Vorpal is named after the Bulgarian settlement of Boroogove. Vorpal is on the southwest coast of Bandersnatch. The South Shetland Islands include Bandersnatch, Gyre, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Boroogove is named after all islands in Antarctica.,"Electron is named after the Bulgarian settlement of Enzyme. Electron is on the southwest coast of Proton. The South Shetland Islands include Proton, Neutron, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Enzyme is named after all islands in Antarctica.,False,Uncertain,Uncertain,Uncertain
119,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",There is at least one cove in Antarctica named after a place in Bulgaria.,True,"Boroogove is named after the Jabberwockn settlement of Vorpal. Boroogove is on the southwest coast of Tumtum. The South Shetland Islands include Tumtum, Tweequ, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",There is at least one cove in Antarctica named after a place in Jabberwock.,"Quark is named after the Nebulan settlement of Ribosome. Quark is on the southwest coast of Neutron. The South Shetland Islands include Neutron, Photon, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",There is at least one cove in Antarctica named after a place in Nebula.,True,Uncertain,Uncertain,Uncertain
120,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Barutin is not located in Antarctica.,False,"Rath is named after the Bulgarian settlement of Snark. Rath is on the southwest coast of Tweequ. The South Shetland Islands include Tweequ, Vorpal, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Snark is not located in Antarctica.,"Electron is named after the Bulgarian settlement of Ribosome. Electron is on the southwest coast of Enzyme. The South Shetland Islands include Enzyme, Quark, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Ribosome is not located in Antarctica.,Uncertain,False,Uncertain,Uncertain
121,Some affection is love. Some love is positive.,Some affection is positive.,Uncertain,Some affection is love. Some love is positive.,Some affection is positive.,Some affection is love. Some love is positive.,Some affection is positive.,True,True,True,True
122,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",Greyhound is an airline.,Uncertain,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Rath 707s are planes. If Tweequ is not an airline, then there are no Tweequ planes.",Tweequ is an airline.,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Enzyme 707s are planes. If Neutron is not an airline, then there are no Neutron planes.",Neutron is an airline.,Uncertain,Uncertain,Uncertain,True
123,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",A Greyhound is a Boeing 707.,False,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Jubjub 707s are planes. If Mome is not an airline, then there are no Mome planes.",A Mome is a Jubjub 707.,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Galaxy 707s are planes. If Nebula is not an airline, then there are no Nebula planes.",A Nebula is a Galaxy 707.,Uncertain,Uncertain,Uncertain,Uncertain
124,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",A Greyhound is not a Boeing 707.,True,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Jubjub 707s are planes. If Boroogove is not an airline, then there are no Boroogove planes.",A Boroogove is not a Jubjub 707.,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Electron 707s are planes. If Enzyme is not an airline, then there are no Enzyme planes.",A Enzyme is not a Electron 707.,False,False,False,Uncertain
125,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock is a monkey.,Uncertain,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Gyre is neither a fly nor a bird, then Gyre neither flies nor breathes.",Gyre is a monkey.,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Nebula is neither a fly nor a bird, then Nebula neither flies nor breathes.",Nebula is a monkey.,Uncertain,Uncertain,Uncertain,Uncertain
126,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock has wings.,True,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Jabberwock is neither a fly nor a bird, then Jabberwock neither flies nor breathes.",Jabberwock has wings.,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Nebula is neither a fly nor a bird, then Nebula neither flies nor breathes.",Nebula has wings.,Uncertain,Uncertain,Uncertain,Uncertain
127,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock does not have wings.,False,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Tweequ is neither a fly nor a bird, then Tweequ neither flies nor breathes.",Tweequ does not have wings.,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Quark is neither a fly nor a bird, then Quark neither flies nor breathes.",Quark does not have wings.,True,True,True,True
