id,premises,conclusion,label,caroline_premises,caroline_conclusion,shuffled_premises,llm_answer_original,llm_answer_caroline
98,"If animals are loved by tourists, then they are Max's favorite animals.  All animals from Australia are loved by tourists.  All quokka are animals from Australia.  All of Max's favorite animals are very fluffy. All of Max's favorite animals love to sleep.  If a koala is very fluffy, then the koala is not a quokka.","If a koala is a quokka, then the koala either loves to sleep or is very fluffy.",True,"If animals are loved by tourists, then they are Snark's favorite animals.  All animals from Tweequ are loved by tourists.  All quokka are animals from Tweequ.  All of Snark's favorite animals are very fluffy. All of Snark's favorite animals love to sleep.  If a Boroogove is very fluffy, then the Boroogove is not a quokka.","If a Gyre is a quokka, then the Gyre either loves to sleep or is very fluffy.","If a koala is very fluffy, then the koala is not a quokka.
All animals from Australia are loved by tourists.
All of Max's favorite animals are very fluffy.
If animals are loved by tourists, then they are Max's favorite animals.
All of Max's favorite animals love to sleep.
All quokka are animals from Australia.",False,Uncertain
99,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,Harry is a CEO.,Uncertain,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Rath is a gentleman.,Tumtum is a CEO.,"A man is either kind or evil.
All gentlemen are handsome.
Harry is a gentleman.
All CEOs are gentlemen.
All evil people are ugly.
No ugly person is handsome.",Uncertain,Uncertain
100,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,Harry is kind or a CEO.,True,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Bandersnatch is a gentleman.,Boroogove is kind or a CEO.,"Harry is a gentleman.
All evil people are ugly.
All gentlemen are handsome.
All CEOs are gentlemen.
A man is either kind or evil.
No ugly person is handsome.",True,Uncertain
101,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Harry is a gentleman.,"If Harry is either both evil and ugly, or neither evil nor ugly, then Harry is neither kind nor a CEO.",False,A man is either kind or evil. No ugly person is handsome. All evil people are ugly. All gentlemen are handsome. All CEOs are gentlemen. Gyre is a gentleman.,"If Bandersnatch is either both evil and ugly, or neither evil nor ugly, then Bandersnatch is neither kind nor a CEO.","All CEOs are gentlemen.
Harry is a gentleman.
All evil people are ugly.
No ugly person is handsome.
A man is either kind or evil.
All gentlemen are handsome.",True,Uncertain
102,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke spends a lot of time hanging out and playing with his siblings.,Uncertain,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Rath is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Jubjub spends a lot of time hanging out and playing with his siblings.,"If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly.
If people complain often about annoying siblings, then they have siblings who are the same age.
If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings.
If people do not live at home regularly, then they do not develop strong bonds with their family members.
Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.
If people have siblings who are the same age, then they are twins or triplets.",Uncertain,Uncertain
103,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke complains often about annoying siblings.,False,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Tumtum is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Jubjub complains often about annoying siblings.,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings.
If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly.
If people do not live at home regularly, then they do not develop strong bonds with their family members.
If people have siblings who are the same age, then they are twins or triplets.
Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.
If people complain often about annoying siblings, then they have siblings who are the same age.",False,Uncertain
104,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Luke is neither a twin nor triplet nor complains often about annoying siblings.,True,"If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings. If people have siblings who are the same age, then they are twins or triplets. If people complain often about annoying siblings, then they have siblings who are the same age. If people do not live at home regularly, then they do not develop strong bonds with their family members. If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly. Jabberwock is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.   ",Gyre is neither a twin nor triplet nor complains often about annoying siblings.,"If people do not live at home regularly, then they do not develop strong bonds with their family members.
Luke is either both a twin or triplet and develops strong bonds with his family members, or he neither is a twin or triplet nor develops strong bonds with his family members.
If people complain often about annoying siblings, then they have siblings who are the same age.
If people spend a lot of time hanging out with and playing with their siblings, then they often did not live at home regularly.
If people have siblings who are the same age, then they are twins or triplets.
If people are twins or triplets, then they spend a lot of time hanging out with and playing with their siblings.",True,Uncertain
105,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,Tom can apply for financial aid from ETS to take the GRE test.,True,It costs Jabberwock $205 to take the Rath test. ETS provides financial aid to those Rath applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Jubjub lives in a single-parent family. His dad has been out of work for more than a year.,Rath can apply for financial aid from ETS to take the Boroogove test.,"It costs US $205 to take the GRE test.
Tom lives in a single-parent family.
His dad has been out of work for more than a year.
Economic hardship refers to difficulty caused by having too little money or too few resources.
ETS provides financial aid to those GRE applicants who prove economic hardship.",Uncertain,Uncertain
106,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,It cost below US $300 to take the GRE test.,True,It costs Boroogove $205 to take the Jubjub test. ETS provides financial aid to those Jubjub applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tweequ lives in a single-parent family. His dad has been out of work for more than a year.,It cost below Boroogove $300 to take the Tweequ test.,"His dad has been out of work for more than a year.
Tom lives in a single-parent family.
Economic hardship refers to difficulty caused by having too little money or too few resources.
ETS provides financial aid to those GRE applicants who prove economic hardship.
It costs US $205 to take the GRE test.",True,Uncertain
107,It costs US $205 to take the GRE test. ETS provides financial aid to those GRE applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Tom lives in a single-parent family. His dad has been out of work for more than a year.,There is no financial aid available for the GRE test.,False,It costs Mome $205 to take the Jabberwock test. ETS provides financial aid to those Jabberwock applicants who prove economic hardship. Economic hardship refers to difficulty caused by having too little money or too few resources. Boroogove lives in a single-parent family. His dad has been out of work for more than a year.,There is no financial aid available for the Tweequ test.,"Economic hardship refers to difficulty caused by having too little money or too few resources.
ETS provides financial aid to those GRE applicants who prove economic hardship.
It costs US $205 to take the GRE test.
His dad has been out of work for more than a year.
Tom lives in a single-parent family.",False,Uncertain
108,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter tidies his space consistently and enjoys the process of cleaning.,Uncertain,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Jubjub is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Jabberwock tidies his space consistently and enjoys the process of cleaning.,"All households with a high net income have people who have parents who are very busy with their regular jobs.
Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings.
All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning.
If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning.
If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings.",Uncertain,Uncertain
109,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter is either a foodie who goes out frequently to find new food restaurants to try or belongs to a household with a high net income.,False,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Jubjub is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Gyre is either a foodie who goes out frequently to find new food restaurants to try or belongs to a household with a high net income.,"All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings.
If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings.
If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning.
All households with a high net income have people who have parents who are very busy with their regular jobs.
If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning.",True,True
110,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Peter is either a foodie who goes out frequently to find new food restaurants to try and belong to a household with a high net income or he is a foodie who goes out frequently to find new food restaurants to try nor belongs to a household with a high net income.,True,"If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning. All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing. If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning. If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings. All households with a high net income have people who have parents who are very busy with their regular jobs. Bandersnatch is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings. ",Rath is either a foodie who goes out frequently to find new food restaurants to try and belong to a household with a high net income or he is a foodie who goes out frequently to find new food restaurants to try nor belongs to a household with a high net income.,"If people grew up as only children with no siblings, then they tidy their spaces consistently and enjoy the process of cleaning.
If people have parents who are very busy with their regular jobs, then they grew up as only children with no siblings.
Peter is either both a person who spills a lot of food on his clothing and grew up as an only child with no siblings, or he is neither a person who spills a lot of food on his clothing nor grew up as an only child with no siblings.
If people spill a lot of food on their clothing, then they do not tidy their spaces consistently and enjoy the process of cleaning.
All foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
All households with a high net income have people who have parents who are very busy with their regular jobs.",True,False
111,All fir trees are evergreens. Some objects of worship are fir trees.,Some evergreens are not objects of worship.,Uncertain,All fir trees are evergreens. Some objects of worship are fir trees.,Some evergreens are not objects of worship.,"All fir trees are evergreens.
Some objects of worship are fir trees.",True,True
112,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",Juan de Onate visited a mountain range in New Mexico.,True,"The Picuris Mountains are a mountain range in Rath or Gyre. Boroogove visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Jubjub that have mines which have been donated.",Jubjub visited a mountain range in Rath.,"The Picuris Mountains are a mountain range in New Mexico or Texas.
The Harding Pegmatite Mine, located in the Picuris Mountains, was donated.
Juan de Onate visited the Picuris Mountains.
There are no mountain ranges in texas that have mines which have been donated.",True,Uncertain
113,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",Juan de Onate visited a mountain range in Texas.,Uncertain,"The Picuris Mountains are a mountain range in Tumtum or Snark. Jabberwock visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Tweequ that have mines which have been donated.",Gyre visited a mountain range in Jubjub.,"The Picuris Mountains are a mountain range in New Mexico or Texas.
There are no mountain ranges in texas that have mines which have been donated.
The Harding Pegmatite Mine, located in the Picuris Mountains, was donated.
Juan de Onate visited the Picuris Mountains.",False,Uncertain
114,"The Picuris Mountains are a mountain range in New Mexico or Texas. Juan de Onate visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in texas that have mines which have been donated.",The Harding Pegmatite Mine is not located in a mountain range in New Mexico.,False,"The Picuris Mountains are a mountain range in Rath or Boroogove. Mome visited the Picuris Mountains. The Harding Pegmatite Mine, located in the Picuris Mountains, was donated. There are no mountain ranges in Bandersnatch that have mines which have been donated.",The Harding Pegmatite Mine is not located in a mountain range in Gyre.,"Juan de Onate visited the Picuris Mountains.
The Picuris Mountains are a mountain range in New Mexico or Texas.
The Harding Pegmatite Mine, located in the Picuris Mountains, was donated.
There are no mountain ranges in texas that have mines which have been donated.",False,True
115,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Peter is shorter than a man in Michael's class.,False,"If a man is taller than another man, the taller one can block the other's shooting. Jubjub is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Tumtum is a man who is taller than Jubjub. Jubjub can block any shooting from a person as long as the person does not jump when shooting. Jubjub cannot block Rath's shooting. Every shooter who can jump when shooting is a great shooter.",Boroogove is shorter than a man in Snark's class.,"Michael cannot block Windy's shooting.
If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael.
Michael can block any shooting from a person as long as the person does not jump when shooting.
Every shooter who can jump when shooting is a great shooter.
If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.",False,Uncertain
116,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Windy is a great shooter.,True,"If a man is taller than another man, the taller one can block the other's shooting. Rath is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Mome is a man who is taller than Rath. Rath can block any shooting from a person as long as the person does not jump when shooting. Rath cannot block Jabberwock's shooting. Every shooter who can jump when shooting is a great shooter.",Windy is a great shooter.,"If a man is taller than another man, the taller one can block the other's shooting.
If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael.
Michael is a man who is taller than everyone else in his class.
Michael can block any shooting from a person as long as the person does not jump when shooting.
Michael cannot block Windy's shooting.
Every shooter who can jump when shooting is a great shooter.",False,Uncertain
117,"If a man is taller than another man, the taller one can block the other's shooting. Michael is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael. Michael can block any shooting from a person as long as the person does not jump when shooting. Michael cannot block Windy's shooting. Every shooter who can jump when shooting is a great shooter.",Peter can block Windy's shooting.,Uncertain,"If a man is taller than another man, the taller one can block the other's shooting. Jubjub is a man who is taller than everyone else in his class. If person x is taller than person y, and person y is taller than person z, than x is taller than z Mome is a man who is taller than Jubjub. Jubjub can block any shooting from a person as long as the person does not jump when shooting. Jubjub cannot block Snark's shooting. Every shooter who can jump when shooting is a great shooter.",Jabberwock can block Boroogove's shooting.,"Michael can block any shooting from a person as long as the person does not jump when shooting.
If a man is taller than another man, the taller one can block the other's shooting.
Michael cannot block Windy's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, than x is taller than z Peter is a man who is taller than Michael.
Every shooter who can jump when shooting is a great shooter.",False,Uncertain
118,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Barutin is named after all islands in Antarctica.,Uncertain,"Mome is named after the Bulgarian settlement of Jubjub. Mome is on the southwest coast of Tumtum. The South Shetland Islands include Tumtum, Jabberwock, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Mome is named after all islands in Antarctica.,"Barutin Cove is named after the Bulgarian settlement of Barutin.
The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island.
The South Shetland Islands are considered part of Antarctica.
If A is located in B and B is located in C, then A is located in C.
Barutin Cove is on the southwest coast of Snow Island.",False,False
119,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",There is at least one cove in Antarctica named after a place in Bulgaria.,True,"Bandersnatch is named after the Bulgarian settlement of Jabberwock. Bandersnatch is on the southwest coast of Snark. The South Shetland Islands include Snark, Rath, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",There is at least one cove in Antarctica named after a place in Bandersnatch.,"Barutin Cove is on the southwest coast of Snow Island.
If A is located in B and B is located in C, then A is located in C.
The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island.
Barutin Cove is named after the Bulgarian settlement of Barutin.
The South Shetland Islands are considered part of Antarctica.",True,Uncertain
120,"Barutin Cove is named after the Bulgarian settlement of Barutin. Barutin Cove is on the southwest coast of Snow Island. The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Barutin is not located in Antarctica.,False,"Gyre is named after the Bulgarian settlement of Bandersnatch. Gyre is on the southwest coast of Tweequ. The South Shetland Islands include Tweequ, Tumtum, and Deception Island. The South Shetland Islands are considered part of Antarctica. If A is located in B and B is located in C, then A is located in C.",Mome is not located in Antarctica.,"Barutin Cove is on the southwest coast of Snow Island.
The South Shetland Islands are considered part of Antarctica.
If A is located in B and B is located in C, then A is located in C.
The South Shetland Islands include Snow Island, Greenwich Island, and Deception Island.
Barutin Cove is named after the Bulgarian settlement of Barutin.",False,Uncertain
121,Some affection is love. Some love is positive.,Some affection is positive.,Uncertain,Some affection is love. Some love is positive.,Some affection is positive.,"Some affection is love.
Some love is positive.",True,True
122,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",Greyhound is an airline.,Uncertain,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Gyre 707s are planes. If Tumtum is not an airline, then there are no Tumtum planes.",Greyhound is an airline.,"If Greyhound is not an airline, then there are no Greyhound planes.
All planes are empty.
If something can transport multiple passengers, then they are not empty.
All airlines can transport multiple passengers.
All Boeing 707s are planes.",False,Uncertain
123,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",A Greyhound is a Boeing 707.,False,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Jubjub 707s are planes. If Snark is not an airline, then there are no Snark planes.",A Mome is a Gyre 707.,"All Boeing 707s are planes.
If Greyhound is not an airline, then there are no Greyhound planes.
If something can transport multiple passengers, then they are not empty.
All planes are empty.
All airlines can transport multiple passengers.",False,Uncertain
124,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Boeing 707s are planes. If Greyhound is not an airline, then there are no Greyhound planes.",A Greyhound is not a Boeing 707.,True,"If something can transport multiple passengers, then they are not empty. All airlines can transport multiple passengers. All planes are empty. All Jabberwock 707s are planes. If Jubjub is not an airline, then there are no Jubjub planes.",A Greyhound is not a Tweequ 707.,"If something can transport multiple passengers, then they are not empty.
All airlines can transport multiple passengers.
All planes are empty.
If Greyhound is not an airline, then there are no Greyhound planes.
All Boeing 707s are planes.",True,Uncertain
125,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock is a monkey.,Uncertain,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Boroogove is neither a fly nor a bird, then Boroogove neither flies nor breathes.",Rock is a monkey.,"All monkeys are mammals.
All mammals are animals.
All animals breathe.
If something can fly, then it has wings.
An animal is either a monkey or a bird.
All birds fly.
If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",False,Uncertain
126,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock has wings.,True,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Jabberwock is neither a fly nor a bird, then Jabberwock neither flies nor breathes.",Rock has wings.,"If something can fly, then it has wings.
All mammals are animals.
An animal is either a monkey or a bird.
All birds fly.
All monkeys are mammals.
If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.
All animals breathe.",False,Uncertain
127,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",Rock does not have wings.,False,"All mammals are animals. All monkeys are mammals.  An animal is either a monkey or a bird. All birds fly. All animals breathe. If something can fly, then it has wings. If Tweequ is neither a fly nor a bird, then Tweequ neither flies nor breathes.",Rock does not have wings.,"An animal is either a monkey or a bird.
All monkeys are mammals.
All mammals are animals.
All animals breathe.
If something can fly, then it has wings.
All birds fly.
If Rock is neither a fly nor a bird, then Rock neither flies nor breathes.",True,Uncertain
128,"All people who have a wedding are people who have at least one child. All people who travel to Paris for their honeymoon are people who have a wedding. All weddings that occur in July belong to people who travel to Paris for their honeymoon. Some weddings in July are well-attended. If John has at least one child, then John does not travel to Paris for his honeymoon and does not have a wedding. If John has a wedding that is well-attended, then John has a wedding in July or, if not, then John travels to Paris for their honeymoon. ",John has a wedding that is well-attended.,False,"All people who have a wedding are people who have at least one child. All people who travel to Snark for their honeymoon are people who have a wedding. All weddings that occur in July belong to people who travel to Snark for their honeymoon. Some weddings in July are well-attended. If Rath has at least one child, then Rath does not travel to Snark for his honeymoon and does not have a wedding. If Rath has a wedding that is well-attended, then Rath has a wedding in July or, if not, then Rath travels to Snark for their honeymoon. ",Jabberwock has a wedding that is well-attended.,"All weddings that occur in July belong to people who travel to Paris for their honeymoon.
If John has a wedding that is well-attended, then John has a wedding in July or, if not, then John travels to Paris for their honeymoon.
All people who travel to Paris for their honeymoon are people who have a wedding.
Some weddings in July are well-attended.
If John has at least one child, then John does not travel to Paris for his honeymoon and does not have a wedding.
All people who have a wedding are people who have at least one child.",Uncertain,Uncertain
129,"All people who have a wedding are people who have at least one child. All people who travel to Paris for their honeymoon are people who have a wedding. All weddings that occur in July belong to people who travel to Paris for their honeymoon. Some weddings in July are well-attended. If John has at least one child, then John does not travel to Paris for his honeymoon and does not have a wedding. If John has a wedding that is well-attended, then John has a wedding in July or, if not, then John travels to Paris for their honeymoon. ",John does not have a wedding that is well-attended.,True,"All people who have a wedding are people who have at least one child. All people who travel to Tweequ for their honeymoon are people who have a wedding. All weddings that occur in July belong to people who travel to Tweequ for their honeymoon. Some weddings in July are well-attended. If Tumtum has at least one child, then Tumtum does not travel to Tweequ for his honeymoon and does not have a wedding. If Tumtum has a wedding that is well-attended, then Tumtum has a wedding in July or, if not, then Tumtum travels to Tweequ for their honeymoon. ",Rath does not have a wedding that is well-attended.,"All people who travel to Paris for their honeymoon are people who have a wedding.
If John has a wedding that is well-attended, then John has a wedding in July or, if not, then John travels to Paris for their honeymoon.
Some weddings in July are well-attended.
All weddings that occur in July belong to people who travel to Paris for their honeymoon.
All people who have a wedding are people who have at least one child.
If John has at least one child, then John does not travel to Paris for his honeymoon and does not have a wedding.",True,Uncertain
